id,LLM_Q1,LLM_Q2,LLM_Q3,LLM_Q4,LLM_Q5,LLM_Q6,LLM_Q7,LLM_Q8,LLM_Q9,LLM_Q10,LLM_Q11,LLM_Q12,LLM_Q13,LLM_Q14,LLM_Q15,LLM_Q16,LLM_Q17,LLM_Q18,LLM_Q19,LLM_Q20
0,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Least Auklet,Parakeet Auklet,Parakeet Auklet,Least Auklet,Parakeet Auklet,Crested Auklet,Rhinoceros Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet
2,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet
3,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Least Auklet,Least Auklet,Least Auklet,Least Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Least Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet
4,Rhinoceros Auklet,Parakeet Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,Parakeet Auklet,Least Auklet,Parakeet Auklet,Parakeet Auklet,Least Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Crested Auklet
7,Rhinoceros Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Least Auklet,Parakeet Auklet,Least Auklet,Least Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet
9,Crested Auklet,Crested Auklet,,Crested Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,Least Auklet,Least Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Crested Auklet
10,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Least Auklet,Least Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet
12,Crested Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Least Auklet,Least Auklet,Least Auklet,Least Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet
14,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Least Auklet,Crested Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet
15,Crested Auklet,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Crested Auklet,Least Auklet,Parakeet Auklet,NA,Least Auklet,Least Auklet,Least Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet
17,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,Least Auklet,Least Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet
18,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Least Auklet,Least Auklet,Least Auklet,Least Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet
19,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Least Auklet,Crested Auklet,Crested Auklet,Least Auklet,Least Auklet,Least Auklet,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA
20,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Least Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet
21,Parakeet Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Least Auklet,Least Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet
23,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Least Auklet,Least Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet
