id,LLM_Q1,LLM_Q2,LLM_Q3,LLM_Q4,LLM_Q5,LLM_Q6,LLM_Q7,LLM_Q8,LLM_Q9,LLM_Q10,LLM_Q11,LLM_Q12,LLM_Q13,LLM_Q14,LLM_Q15,LLM_Q16,LLM_Q17,LLM_Q18,LLM_Q19,LLM_Q20,LLM_A1,LLM_A2,LLM_A3,LLM_A4,LLM_A5,LLM_A6
0,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,NA,5,5,7,4,4
1,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Parakeet Auklet,Crested Auklet,Least Auklet,Parakeet Auklet,Parakeet Auklet,Least Auklet,Crested Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,NA,5,4,6,6,5
2,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,NA,4,5,7,4,4
3,Rhinoceros Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,Crested Auklet,Rhinoceros Auklet,Least Auklet,Least Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,NA,3,3,6,3,3
4,Crested Auklet,Parakeet Auklet,Crested Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,NA,5,5,6,5,5
5,Crested Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,NA,3,4,5,5,4
6,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,NA,5,5,6,6,5
7,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,NA,4,4,5,4,3
8,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,NA,5,5,6,7,5
9,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Parakeet Auklet,Crested Auklet,NA,5,4,6,4,4
