id,LLM_Q1,LLM_Q2,LLM_Q3,LLM_Q4,LLM_Q5,LLM_Q6,LLM_Q7,LLM_Q8,LLM_Q9,LLM_Q10,LLM_Q11,LLM_Q12,LLM_Q13,LLM_Q14,LLM_Q15,LLM_Q16,LLM_Q17,LLM_Q18,LLM_Q19,LLM_Q20,LLM_A1,LLM_A2,LLM_A3,LLM_A4,LLM_A5,LLM_A6
0,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Least Auklet,Parakeet Auklet,Crested Auklet,Least Auklet,Parakeet Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA
1,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Least Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,NA,NA,NA,NA,NA,NA
2,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Least Auklet,Parakeet Auklet,Crested Auklet,Least Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA
3,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Least Auklet,Crested Auklet,Crested Auklet,Least Auklet,Least Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA
4,Crested Auklet,Least Auklet,Crested Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Least Auklet,Least Auklet,Least Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA
5,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Least Auklet,Parakeet Auklet,Least Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,NA,NA,NA,NA,NA,NA
6,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Least Auklet,Least Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA
7,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Least Auklet,Parakeet Auklet,Crested Auklet,Least Auklet,Least Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA
8,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Least Auklet,Parakeet Auklet,Parakeet Auklet,Least Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA
9,Crested Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Crested Auklet,Least Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Parakeet Auklet,NA,NA,NA,NA,NA,NA
